Emp_ID,Age,Salary,Joining Designation,Designation,Total Business Value,Quarterly Rating,City,Gender,Education_Level,Dateofjoining,EmployeeLeaveOrNot
1,28,57387,1,1,571860,2,C23,Male,Master,24-12-2015,1
2,31,67016,2,2,0,1,C7,Male,Master,06-11-2017,0
4,43,65603,2,2,70000,1,C13,Male,Master,07-12-2016,1
5,29,46368,1,1,40120,1,C9,Male,College,09-01-2016,1
6,31,78728,3,3,253000,1.6,C11,Female,Bachelor,31-07-2017,0
8,34,70656,3,3,0,1,C2,Male,College,19-09-2017,1
11,28,42172,1,1,0,1,C19,Female,Master,07-12-2017,0
12,35,28116,1,1,434530,2.5,C23,Male,Master,29-06-2016,1
13,29.61,119227,1,4,444045.22,1.26,C19,Male,Master,28-05-2012,1
14,39,19734,3,3,0,1,C26,Female,College,16-10-2017,0
16,30,52963,2,2,173400,1,C23,Female,College,30-11-2015,1
17,42.14,51099,1,1,145377.14,1.43,C20,Male,Master,06-03-2015,1
18,27,31631,1,1,0,1,C17,Female,Bachelor,09-01-2016,1
20,26,40342,3,3,0,1,C19,Female,College,25-10-2016,1
21,33.29,22755,1,1,497325,2.29,C29,Female,Bachelor,12-05-2015,1
22,40.38,31224,1,1,471218.12,2.88,C10,Male,Master,25-05-2015,1
24,30.9,76308,1,2,410172,2.3,C24,Male,Master,25-05-2015,1
25,29.67,102077,1,3,1514629.58,3.75,C24,Male,Bachelor,30-10-2014,0
26,41.83,126132.33,1,3.42,2911162.5,3.08,C14,Male,Master,07-05-2015,0
29,30,30312,1,1,254634,1.6,C13,Male,Master,20-05-2015,1
30,31,69457,3,3,0,1,C6,Male,Bachelor,03-10-2016,1
31,32,65189,3,3,158490,1.5,C28,Female,Master,04-07-2017,0
34,28,65813,2,2,119002.5,1.5,C14,Female,Bachelor,31-07-2017,1
35,32,68070,3,3,100000,1,C5,Male,Bachelor,07-03-2017,1
36,40.21,32865,2,2,305552.14,2,C18,Female,Bachelor,01-07-2016,1
37,33,57375,2,2,108336.67,1,C14,Female,Bachelor,16-05-2017,1
38,22,13427,1,1,0,1,C27,Male,College,06-12-2016,1
39,32,72888,2,2,484446,2.4,C26,Male,College,08-08-2017,0
40,32,59182,2,2,0,1,C15,Male,College,08-11-2016,1
41,33.78,92372,4,4,1208661.67,2,C29,Male,Master,04-07-2016,0
42,44,45988,2,2,198938,1,C28,Female,College,20-10-2015,1
43,27,12906,1,1,179945,1,C15,Female,College,13-07-2015,1
44,28,62100,1,1,50036.67,1,C17,Male,Master,25-09-2017,1
45,35,77544,3,3,746762.86,2.71,C8,Male,Master,29-05-2017,0
46,36,42171,1,1,112763.33,1,C25,Female,Master,28-10-2015,1
